HDI_rank,Country,HDI,life_expectancy_birth,expected_education_years,mean_years_education,GNI_capita,GNI_percent,HDI_level,median_age,GII,internet_users,parliament_seat
1,Norway,0.96,82.4,18.1,12.9,66494.25,0.6649425,very_high,40,0.05,96.5,41
2,Switzerland,0.96,83.8,16.3,13.4,68370.59,0.6837059,very_high,38,0.09,84.5,24
2,Ireland,0.96,82.3,18.7,12.7,69393.52,0.6939352,very_high,43,0.03,89.7,39
4,Hong Kong,0.95,84.9,16.9,12.3,62984.77,0.6298477,very_high,45,,89.4,..
4,Iceland,0.95,83,19.1,12.8,54682.38,0.5468238,very_high,37,0.06,99.0,38
6,Germany,0.95,81.3,17,14.2,55314.35,0.5531435,very_high,46,0.08,89.7,32
7,Sweden,0.95,82.8,19.5,12.5,54507.81,0.5450781,very_high,41,0.04,92.1,47
8,Netherlands,0.94,82.3,18.5,12.4,48084.84,0.4808484,very_high,38,0.10,86.5,37
8,Australia,0.94,83.4,22,12.7,57707.07,0.5770707,very_high,43,0.04,94.7,34
10,Denmark,0.94,80.9,18.9,12.6,58661.87,0.5866187,very_high,42,0.04,97.6,39
11,Singapore,0.94,83.6,16.4,11.6,48511.4,0.485114,very_high,43,0.05,88.9,47
11,Finland,0.94,81.9,19.4,12.8,88155.21,0.8815521,very_high,42,0.07,88.2,23
13,United Kingdom,0.93,81.3,17.5,13.2,46070.64,0.4607064,very_high,40,0.12,94.9,29
14,Belgium,0.93,81.6,19.8,12.1,52084.59,0.5208459,very_high,42,0.04,88.7,43
14,New Zealand,0.93,82.3,18.8,12.8,40798.72,0.4079872,very_high,38,0.12,90.8,41
16,Canada,0.93,82.4,16.2,13.4,48527.04,0.4852704,very_high,41,0.08,91.0,33
17,United States,0.93,78.9,16.3,13.4,63825.66,0.6382566,very_high,38,0.20,87.3,24
18,Austria,0.92,81.5,16.1,12.5,56196.9,0.561969,very_high,43,0.07,87.7,39
19,Liechtenstein,0.92,80.7,14.9,12.5,40186.85,0.4018685,very_high,30,0.11,81.6,23
19,Japan,0.92,84.6,15.2,12.9,42931.7,0.429317,very_high,48,0.09,84.6,15
19,Israel,0.92,83,16.2,13,131031.59,1.3103159,very_high,,,98.1,12
22,Slovenia,0.92,81.3,17.6,12.7,38079.53,0.3807953,very_high,45,0.06,79.8,22
23,Luxembourg,0.92,82.3,14.3,12.3,43043.71,0.4304371,very_high,44,0.06,95.9,17
23,South Korea,0.92,83,16.5,12.2,72711.67,0.7271167,very_high,40,0.07,97.1,25
25,Spain,0.90,83.6,17.6,10.3,40974.52,0.4097452,very_high,45,0.07,86.1,42
26,France,0.90,82.7,15.6,11.5,47172.54,0.4717254,very_high,42,0.05,82.0,37
27,Czech Republic,0.90,79.4,16.8,12.7,38108.57,0.3810857,very_high,43,0.14,80.7,21
28,Malta,0.90,82.5,16.1,11.3,39554.52,0.3955452,very_high,43,0.18,81.4,15
29,Italy,0.89,83.5,16.1,10.4,36019.27,0.3601927,very_high,42,0.09,89.4,30
29,Estonia,0.89,78.8,16,13.1,42776.36,0.4277636,very_high,47,0.07,74.4,35
31,United Arab Emirates,0.89,78,14.3,12.1,67462.1,0.674621,very_high,33,0.08,98.5,50
32,Greece,0.89,82.2,17.9,10.6,30154.63,0.3015463,very_high,46,0.12,73.0,21
33,Cyprus,0.89,81,15.2,12.2,38206.84,0.3820684,very_high,37,0.09,84.4,18
34,Lithuania,0.88,75.9,16.6,13.1,35798.67,0.3579867,very_high,45,0.12,79.7,21
35,Poland,0.88,78.7,16.3,12.5,31622.55,0.3162255,very_high,42,0.12,77.5,28
36,Andorra,0.87,81.9,13.3,10.5,56000.3,0.560003,very_high,,,91.6,46
37,Latvia,0.87,75.3,16.2,13,30282.39,0.3028239,very_high,44,0.18,83.6,30
38,Portugal,0.86,82.1,16.5,9.3,33966.83,0.3396683,very_high,46,0.08,74.7,39
39,Slovakia,0.86,77.5,14.5,12.7,32113.05,0.3211305,very_high,41,0.19,80.7,20
40,Saudi Arabia,0.85,75.1,16.1,10.2,31328.81,0.3132881,very_high,43,0.23,76.1,13
40,Hungary,0.85,76.9,15.2,12,47495.43,0.4749543,very_high,32,0.25,93.3,20
42,Bahrain,0.85,77.3,16.3,9.5,42521.7,0.425217,very_high,32,0.21,98.6,19
